instance,variant,feasible,optimal,objective,best_bound,gap,time_sec,iterations,feasCuts,optCuts
"MVPRP1_10_6_3","base","True","True","45223.935420","45223.935420","0.000000","117.197849","84","0","82"
"MVPRP1_10_6_3","+cuts","True","True","45223.935420","45223.935420","0.000000","11.740721","32","0","30"
"MVPRP1_10_6_3","+vi","True","True","45223.935420","45223.935420","0.000000","13.203967","39","0","37"
"MVPRP1_10_6_3","full","True","True","45223.935420","45223.935420","0.000000","5.225439","21","0","19"
"MVPRP2_10_6_3","base","True","True","372463.935420","372463.935420","0.000000","30.372213","107","0","105"
"MVPRP2_10_6_3","+cuts","True","True","372463.935420","372463.935420","0.000000","14.451815","41","0","39"
"MVPRP2_10_6_3","+vi","True","True","372463.935420","372463.935420","0.000000","18.173284","41","0","39"
"MVPRP2_10_6_3","full","True","True","372463.935420","372463.935420","0.000000","4.463162","20","0","18"
"MVPRP3_10_6_3","+cuts","True","True","67083.070798","67083.070798","0.000000","60.093041","37","0","35"
"MVPRP3_10_6_3","+vi","True","True","67083.070798","67083.070798","0.000000","70.752242","40","0","38"
"MVPRP3_10_6_3","full","True","True","67083.070798","67083.070798","0.000000","17.481114","22","0","20"
"MVPRP4_10_6_3","base","True","True","41823.614160","41823.614160","0.000000","2.231722","11","0","9"
"MVPRP4_10_6_3","+cuts","True","True","41823.614160","41823.614160","0.000000","1.956143","9","0","7"
"MVPRP4_10_6_3","+vi","True","True","41823.614160","41823.614160","0.000000","2.191627","10","0","8"
"MVPRP4_10_6_3","full","True","True","41823.614160","41823.614160","0.000000","1.494961","8","0","6"
"MVPRP1_10_9_2","+cuts","True","True","67739.218875","67739.218875","0.000000","540.968341","80","0","78"
"MVPRP1_10_9_2","+vi","True","True","67739.218875","67739.218875","0.000000","246.009877","76","0","74"
"MVPRP1_10_9_2","full","True","True","67739.218875","67739.218875","0.000000","118.025846","55","0","53"
"MVPRP2_10_9_2","+cuts","True","True","572099.218875","572099.218875","0.000000","234.065162","80","0","78"
"MVPRP2_10_9_2","+vi","True","True","572099.218875","572099.218875","0.000000","232.374188","89","0","87"
"MVPRP2_10_9_2","full","True","True","572099.218875","572099.218875","0.000000","118.279668","63","0","61"
"MVPRP3_10_9_2","full","True","True","94099.166050","94099.166050","0.000000","329.852837","39","0","37"
"MVPRP4_10_9_2","+cuts","True","True","62541.833210","62541.833210","0.000000","373.265719","78","0","76"
"MVPRP4_10_9_2","+vi","True","True","62541.833210","62541.833210","0.000000","309.661424","70","0","68"
"MVPRP4_10_9_2","full","True","True","62541.833210","62541.833210","0.000000","183.567175","38","0","36"
"MVPRP1_10_9_3","full","True","True","69269.931354","69269.931354","0.000000","299.167134","115","0","113"
"MVPRP2_10_9_3","full","True","True","573629.931354","573629.931354","0.000000","256.439869","125","0","123"
"MVPRP3_10_9_3","full","True","True","101996.310902","101996.310902","0.000000","477.998281","104","0","102"
"MVPRP4_10_9_3","full","True","True","64111.662180","64111.662180","0.000000","134.734714","82","0","80"
"MVPRP1_15_3_3","full","True","True","40259.181343","40259.181343","0.000000","62.088702","273","253","18"
"MVPRP2_15_3_3","full","True","True","284609.181343","284609.181343","0.000000","16.279852","103","83","18"
"MVPRP3_15_3_3","full","True","True","52635.390827","52635.390827","0.000000","7.924678","146","129","15"
"MVPRP4_15_3_3","base","True","True","30258.103837","30258.103837","0.000000","319.883319","1047","885","160"
"MVPRP4_15_3_3","+cuts","True","True","30258.103837","30258.103837","0.000000","323.367859","1002","854","146"
"MVPRP4_15_3_3","+vi","True","True","30258.103837","30258.103837","0.000000","434.854121","1043","896","145"
"MVPRP4_15_3_3","full","True","True","30258.103837","30258.103837","0.000000","2.787760","83","66","15"
